datetime,hour,day_of_week,day_type,is_weekend,is_holiday,temperature_c,humidity_pct,industrial_load_mw,commercial_load_mw,residential_load_mw,total_load_mw
2025-04-01 00:00:00,0,Tuesday,Weekday,0,0,22.4,57.0,126.6,109.2,172.1,407.9
2025-04-01 01:00:00,1,Tuesday,Weekday,0,0,22.3,76.0,143.7,99.3,161.0,404.0
2025-04-01 02:00:00,2,Tuesday,Weekday,0,0,24.5,58.0,111.9,87.4,154.4,353.7
2025-04-01 03:00:00,3,Tuesday,Weekday,0,0,27.0,61.0,122.5,91.6,151.1,365.2
2025-04-01 04:00:00,4,Tuesday,Weekday,0,0,25.7,62.0,110.0,94.7,155.7,360.4
2025-04-01 05:00:00,5,Tuesday,Weekday,0,0,27.0,66.0,151.0,97.5,164.0,412.5
2025-04-01 06:00:00,6,Tuesday,Weekday,0,0,30.9,50.0,165.2,121.1,246.5,532.8
2025-04-01 07:00:00,7,Tuesday,Weekday,0,0,30.7,60.0,232.3,158.1,233.7,624.1
2025-04-01 08:00:00,8,Tuesday,Weekday,0,0,29.7,69.0,242.8,157.6,257.4,657.8
2025-04-01 09:00:00,9,Tuesday,Weekday,0,0,31.7,50.0,270.2,197.6,333.5,801.3
2025-04-01 10:00:00,10,Tuesday,Weekday,0,0,30.4,59.0,278.4,200.4,295.5,774.3
2025-04-01 11:00:00,11,Tuesday,Weekday,0,0,30.2,55.0,270.1,192.9,309.6,772.6
2025-04-01 12:00:00,12,Tuesday,Weekday,0,0,30.8,60.0,297.4,210.0,309.2,816.6
2025-04-01 13:00:00,13,Tuesday,Weekday,0,0,26.7,63.0,258.7,195.4,319.3,773.4
2025-04-01 14:00:00,14,Tuesday,Weekday,0,0,26.0,61.0,271.5,197.8,278.9,748.2
2025-04-01 15:00:00,15,Tuesday,Weekday,0,0,26.5,66.0,254.0,197.8,302.0,753.8
2025-04-01 16:00:00,16,Tuesday,Weekday,0,0,24.6,75.0,284.9,191.4,283.0,759.3
2025-04-01 17:00:00,17,Tuesday,Weekday,0,0,25.3,64.0,275.5,212.0,325.5,813.0
2025-04-01 18:00:00,18,Tuesday,Weekday,0,0,22.2,72.0,299.2,241.9,346.8,887.9
2025-04-01 19:00:00,19,Tuesday,Weekday,0,0,20.5,64.0,324.5,220.0,350.0,894.5
2025-04-01 20:00:00,20,Tuesday,Weekday,0,0,24.0,61.0,322.9,216.1,344.0,883.0
2025-04-01 21:00:00,21,Tuesday,Weekday,0,0,20.9,72.0,272.4,210.3,308.2,790.9
2025-04-01 22:00:00,22,Tuesday,Weekday,0,0,21.2,77.0,207.4,168.2,284.0,659.6
2025-04-01 23:00:00,23,Tuesday,Weekday,0,0,19.2,74.0,180.6,120.0,234.5,535.1
2025-04-02 00:00:00,0,Wednesday,Weekday,0,0,21.0,68.0,160.9,116.6,148.7,426.2
2025-04-02 01:00:00,1,Wednesday,Weekday,0,0,22.8,68.0,140.8,86.7,163.3,390.8
2025-04-02 02:00:00,2,Wednesday,Weekday,0,0,21.9,62.0,146.1,106.1,148.3,400.5
2025-04-02 03:00:00,3,Wednesday,Weekday,0,0,25.4,68.0,106.2,93.2,151.6,351.0
2025-04-02 04:00:00,4,Wednesday,Weekday,0,0,25.3,69.0,122.9,101.0,140.4,364.3
2025-04-02 05:00:00,5,Wednesday,Weekday,0,0,27.0,60.0,138.3,87.8,167.0,393.1
2025-04-02 06:00:00,6,Wednesday,Weekday,0,0,27.8,59.0,183.2,127.9,188.8,499.9
2025-04-02 07:00:00,7,Wednesday,Weekday,0,0,32.5,57.0,198.0,160.1,293.4,651.5
2025-04-02 08:00:00,8,Wednesday,Weekday,0,0,30.5,56.0,264.8,172.5,282.0,719.3
2025-04-02 09:00:00,9,Wednesday,Weekday,0,0,29.4,59.0,260.2,170.6,325.8,756.6
2025-04-02 10:00:00,10,Wednesday,Weekday,0,0,32.4,67.0,245.5,197.3,334.7,777.5
2025-04-02 11:00:00,11,Wednesday,Weekday,0,0,29.2,59.0,254.2,194.3,332.8,781.3
2025-04-02 12:00:00,12,Wednesday,Weekday,0,0,30.8,56.0,261.9,183.7,366.3,811.9
2025-04-02 13:00:00,13,Wednesday,Weekday,0,0,26.8,60.0,269.1,201.8,315.0,785.9
2025-04-02 14:00:00,14,Wednesday,Weekday,0,0,26.7,67.0,230.7,200.5,327.4,758.6
2025-04-02 15:00:00,15,Wednesday,Weekday,0,0,27.8,61.0,232.5,197.9,313.3,743.7
2025-04-02 16:00:00,16,Wednesday,Weekday,0,0,27.3,59.0,284.9,214.1,281.4,780.4
2025-04-02 17:00:00,17,Wednesday,Weekday,0,0,25.2,71.0,259.8,204.6,372.1,836.5
2025-04-02 18:00:00,18,Wednesday,Weekday,0,0,23.6,74.0,283.2,246.3,359.2,888.7
2025-04-02 19:00:00,19,Wednesday,Weekday,0,0,22.3,65.0,309.2,250.1,360.3,919.6
2025-04-02 20:00:00,20,Wednesday,Weekday,0,0,19.7,62.0,294.2,204.9,362.6,861.7
2025-04-02 21:00:00,21,Wednesday,Weekday,0,0,20.3,76.0,265.7,168.9,301.2,735.8
2025-04-02 22:00:00,22,Wednesday,Weekday,0,0,20.6,67.0,219.7,161.1,273.6,654.4
2025-04-02 23:00:00,23,Wednesday,Weekday,0,0,23.0,71.0,193.1,129.8,208.8,531.7
2025-04-03 00:00:00,0,Thursday,Weekday,0,0,22.5,58.0,148.7,108.3,168.5,425.5
2025-04-03 01:00:00,1,Thursday,Weekday,0,0,20.1,75.0,113.0,93.3,159.4,365.7
2025-04-03 02:00:00,2,Thursday,Weekday,0,0,24.3,60.0,118.6,100.6,160.3,379.5
2025-04-03 03:00:00,3,Thursday,Weekday,0,0,24.4,69.0,112.5,84.2,139.2,335.9
2025-04-03 04:00:00,4,Thursday,Weekday,0,0,25.3,65.0,134.5,91.8,179.2,405.5
2025-04-03 05:00:00,5,Thursday,Weekday,0,0,28.5,56.0,142.8,107.9,146.6,397.3
2025-04-03 06:00:00,6,Thursday,Weekday,0,0,30.3,57.0,184.0,126.7,220.4,531.1
2025-04-03 07:00:00,7,Thursday,Weekday,0,0,31.2,61.0,210.6,177.1,248.6,636.3
2025-04-03 08:00:00,8,Thursday,Weekday,0,0,29.4,60.0,213.8,154.7,313.0,681.5
2025-04-03 09:00:00,9,Thursday,Weekday,0,0,30.7,61.0,233.2,203.4,296.4,733.0
2025-04-03 10:00:00,10,Thursday,Weekday,0,0,31.8,67.0,274.4,178.8,339.7,792.9
2025-04-03 11:00:00,11,Thursday,Weekday,0,0,32.6,48.0,267.4,187.3,346.3,801.0
2025-04-03 12:00:00,12,Thursday,Weekday,0,0,29.9,67.0,274.9,179.5,351.2,805.6
2025-04-03 13:00:00,13,Thursday,Weekday,0,0,29.6,60.0,245.1,205.0,331.4,781.5
2025-04-03 14:00:00,14,Thursday,Weekday,0,0,27.2,58.0,257.4,197.6,274.0,729.0
2025-04-03 15:00:00,15,Thursday,Weekday,0,0,25.8,57.0,261.8,174.9,274.2,710.9
2025-04-03 16:00:00,16,Thursday,Weekday,0,0,27.6,61.0,248.5,213.7,312.9,775.1
2025-04-03 17:00:00,17,Thursday,Weekday,0,0,27.1,67.0,275.2,207.1,328.7,811.0
2025-04-03 18:00:00,18,Thursday,Weekday,0,0,23.8,66.0,336.9,229.7,324.5,891.1
2025-04-03 19:00:00,19,Thursday,Weekday,0,0,24.3,73.0,305.0,252.7,375.9,933.6
2025-04-03 20:00:00,20,Thursday,Weekday,0,0,22.6,61.0,313.6,214.6,374.1,902.3
2025-04-03 21:00:00,21,Thursday,Weekday,0,0,20.6,70.0,238.5,187.3,350.4,776.2
2025-04-03 22:00:00,22,Thursday,Weekday,0,0,21.9,62.0,224.8,177.0,243.2,645.0
2025-04-03 23:00:00,23,Thursday,Weekday,0,0,23.9,68.0,162.9,145.3,222.0,530.2
2025-04-04 00:00:00,0,Friday,Weekday,0,0,22.0,73.0,149.5,110.5,136.8,396.8
2025-04-04 01:00:00,1,Friday,Weekday,0,0,25.2,63.0,144.8,111.1,149.3,405.2
2025-04-04 02:00:00,2,Friday,Weekday,0,0,20.0,58.0,143.8,90.2,162.2,396.2
2025-04-04 03:00:00,3,Friday,Weekday,0,0,26.4,64.0,138.4,104.7,145.4,388.5
2025-04-04 04:00:00,4,Friday,Weekday,0,0,26.6,65.0,120.3,84.7,141.4,346.4
2025-04-04 05:00:00,5,Friday,Weekday,0,0,27.3,64.0,133.6,111.1,152.9,397.6
2025-04-04 06:00:00,6,Friday,Weekday,0,0,29.1,66.0,176.5,118.9,183.3,478.7
